10001,40.7506,-73.9971,New York,New York,761343519600829
10301,40.6286,-74.0959,Staten Island,New York,441560124595161
10451,40.8208,-73.9239,Bronx,New York,900982538122001
10501,41.2944,-73.7607,Amawalk,New York,828661208277610
10502,41.0114,-73.8415,Ardsley,New York,032510906197538
10503,41.0265,-73.8752,Ardsley On Hudson,New York,322683390526109
10504,41.1312,-73.7059,Armonk,New York,326269443417612
10505,41.3421,-73.7456,Baldwin Place,New York,514081413357699
10506,41.1888,-73.6339,Bedford,New York,030141742781862
10507,41.2284,-73.6863,Bedford Hills,New York,977105108005312
10509,41.4117,-73.5944,Brewster,New York,065933588084020
10510,41.1409,-73.8345,Briarcliff Manor,New York,868923563582253
10511,41.263,-73.9437,Buchanan,New York,376424880827140
10512,41.4492,-73.7121,Carmel,New York,359672053587823
10514,41.1731,-73.7709,Chappaqua,New York,096186838017363
10516,41.4533,-73.9024,Cold Spring,New York,632632275671718
10517,41.2982,-73.8619,Crompond,New York,020907742150555
10518,41.2678,-73.6003,Cross River,New York,962550595813392
10519,41.3502,-73.6557,Croton Falls,New York,614421366821657
10520,41.2206,-73.8716,Croton On Hudson,New York,639280245606744
10522,41.0123,-73.8648,Dobbs Ferry,New York,378337943778927
10523,41.06,-73.8189,Elmsford,New York,848505477443538
10524,41.3706,-73.922,Garrison,New York,008478487970070
10526,41.2911,-73.6678,Goldens Bridge,New York,955880136699959
10527,41.3191,-73.7645,Granite Springs,New York,503755794650928
10528,40.9783,-73.7229,Harrison,New York,306694306475646
10530,41.0234,-73.8077,Hartsdale,New York,924255902406661
10532,41.0991,-73.8001,Hawthorne,New York,769820382976462
10533,41.0384,-73.8557,Irvington,New York,602048777416254
10535,41.3351,-73.799,Jefferson Valley,New York,964534729364183
10536,41.2698,-73.6872,Katonah,New York,930025146344734
10537,41.3379,-73.8851,Lake Peekskill,New York,306305468156629
10538,40.938,-73.7567,Larchmont,New York,640164965354653
10540,41.338,-73.7254,Lincolndale,New York,194870986528080
10541,41.3797,-73.7512,Mahopac,New York,698901566161483
10542,41.3728,-73.7624,Mahopac Falls,New York,765232948961827
10543,40.952,-73.7355,Mamaroneck,New York,471779770390691
10545,41.1786,-73.8355,Maryknoll,New York,440187102606997
10546,41.1955,-73.7999,Millwood,New York,748709593885236
10547,41.3117,-73.8462,Mohegan Lake,New York,913855256027572
10548,41.2472,-73.935,Montrose,New York,286135114374896
10549,41.2007,-73.721,Mount Kisco,New York,932537373908916
10550,40.9064,-73.835,Mount Vernon,New York,627146328982816
10560,41.332,-73.6022,North Salem,New York,616295070002339
10562,41.1925,-73.831,Ossining,New York,494044037452570
10566,41.2892,-73.9184,Peekskill,New York,778500333993194
10567,41.289,-73.898,Cortlandt Manor,New York,875278894623630
10570,41.1301,-73.7872,Pleasantville,New York,419635509185786
10573,41.0168,-73.6773,Port Chester,New York,355988818070574
10576,41.2134,-73.5737,Pound Ridge,New York,125305670701537
10577,41.0379,-73.7136,Purchase,New York,021170309074164
10578,41.3174,-73.6745,Purdys,New York,577421462047522
10579,41.3938,-73.8361,Putnam Valley,New York,302335975726238
10580,40.9789,-73.6931,Rye,New York,115376385846171
10583,40.9892,-73.7931,Scarsdale,New York,587643320479715
10587,40.9597,-73.6869,Shenorock,New York,307799687341383
10588,41.3353,-73.8215,Shrub Oak,New York,977845367237322
10589,41.3299,-73.6952,Somers,New York,778792984543208
10590,41.2539,-73.5373,South Salem,New York,905381754979376
10591,41.0859,-73.8442,Tarrytown,New York,269830884624154
10594,41.1164,-73.7727,Thornwood,New York,322055880890567
10595,41.0865,-73.782,Valhalla,New York,165624459214451
10596,41.2561,-73.9591,Verplanck,New York,214305670714624
10597,41.2941,-73.5968,Waccabuc,New York,874172644959673
10598,41.2818,-73.7933,Yorktown Heights,New York,473819319797851
10601,41.033,-73.765,White Plains,New York,632990850960704
10604,41.0593,-73.7394,West Harrison,New York,998851543425345
10701,40.9453,-73.8804,Yonkers,New York,536817260029996
10706,40.9898,-73.8675,Hastings On Hudson,New York,398569332277485
10707,40.9605,-73.8228,Tuckahoe,New York,394373607187756
10708,40.9382,-73.8307,Bronxville,New York,278485718188255
10709,40.9546,-73.8094,Eastchester,New York,368981168085668
10801,40.9176,-73.7844,New Rochelle,New York,531820328204383
10803,40.9003,-73.8066,Pelham,New York,397181371137406
10901,41.1388,-74.1161,Suffern,New York,134158644083316
10910,41.2771,-74.1352,Arden,New York,764982169043374
10911,41.3168,-74.0031,Bear Mountain,New York,713200376942034
10912,41.2477,-74.2925,Bellvale,New York,464757838406250
10913,41.0689,-73.9555,Blauvelt,New York,426826925824070
10914,41.416,-74.1996,Blooming Grove,New York,911092457272896
10915,41.5423,-74.3582,Bullville,New York,108945725667842
10916,41.4421,-74.2487,Campbell Hall,New York,306238696658148
10917,41.3244,-74.117,Central Valley,New York,605539689072790
10918,41.3477,-74.2587,Chester,New York,773815940324145
10919,41.5285,-74.3832,Circleville,New York,114439686882626
10920,41.1529,-73.9405,Congers,New York,300752139492369
10921,41.3298,-74.3639,Florida,New York,366363251862102
10922,41.3335,-73.9944,Fort Montgomery,New York,299034032015780
10923,41.2023,-73.9998,Garnerville,New York,252012932085033
10924,41.3795,-74.3467,Goshen,New York,126457324487331
10925,41.2101,-74.3033,Greenwood Lake,New York,698043686524445
10926,41.3016,-74.1245,Harriman,New York,867413457881974
10927,41.1926,-73.9671,Haverstraw,New York,559089090356843
10928,41.3534,-73.9981,Highland Falls,New York,484497385726636
10930,41.3648,-74.1154,Highland Mills,New York,407312239664271
10931,41.1474,-74.1646,Hillburn,New York,271181385664701
10932,41.4821,-74.4646,Howells,New York,291627495055445
10933,41.3653,-74.5142,Johnson,New York,831758650927631
10940,41.4512,-74.4702,Middletown,New York,982752709151665
10949,41.33,-74.1922,Monroe,New York,229592894548265
10952,41.1137,-74.0794,Monsey,New York,815124061574078
10953,41.405,-74.0774,Mountainville,New York,133160401316506
10954,41.1,-74.0128,Nanuet,New York,371638839821576
10956,41.1569,-73.9944,New City,New York,543325375320625
10958,41.3734,-74.4304,New Hampton,New York,984340800694596
10959,41.2646,-74.3681,New Milford,New York,675935183125761
10960,41.0919,-73.9258,Nyack,New York,146318765649688
10962,41.0491,-73.9591,Orangeburg,New York,775190067714951
10963,41.4633,-74.5443,Otisville,New York,637076313788875
10964,41.0162,-73.9144,Palisades,New York,487306269675622
10965,41.0618,-74.0128,Pearl River,New York,953203980633907
10968,41.0394,-73.9178,Piermont,New York,819401541940590
10969,41.2926,-74.4888,Pine Island,New York,511516575659908
